LSOA	value
E01031470	0
E01017687	0
E01000027	2
E01000028	0
E01000029	1
E01000030	1
E01000031	0
E01000032	0
E01000110	0
E01000111	1
E01000112	1
E01000113	1
E01000034	1
E01000037	0
E01000038	0
E01000039	0
E01000063	0
E01000100	1
E01000101	0
E01000109	1
E01000114	1
E01000033	0
E01000060	1
E01000061	1
E01000062	1
E01000064	1
E01000065	1
E01000078	0
E01000080	0
E01000081	0
E01000082	1
E01000083	0
E01000102	0
E01000021	1
E01000022	0
E01000023	2
E01000024	0
E01000025	0
E01000077	1
E01000015	0
E01000016	0
E01000017	0
E01000018	1
E01000079	0
E01000035	1
E01000036	0
E01000107	0
E01000108	1
E01000066	1
E01000067	0
E01000069	0
E01000070	1
E01000071	1
E01000057	1
E01000073	0
E01000074	1
E01000075	1
E01000076	0
E01000013	1
E01000014	1
E01000059	0
E01000084	0
E01000085	1
E01000086	0
E01000103	1
E01000104	0
E01000105	2
E01000106	1
E01000007	2
E01000008	1
E01000010	2
E01000012	2
E01000006	0
E01000009	1
E01000011	1
E01000044	1
E01000068	1
E01000041	0
E01000042	1
E01000045	2
E01000046	0
E01000072	1
E01000054	0
E01000055	1
E01000056	1
E01000058	1
E01000095	2
E01000040	0
E01000043	0
E01000050	1
E01000052	1
E01000092	2
E01000053	1
E01000087	2
E01000088	1
E01000089	0
E01000090	1
E01000048	0
E01000049	1
E01000051	1
E01033587	2
E01033588	0
E01000091	1
E01000093	1
E01000094	0
E01000096	2
E01000019	0
E01000020	0
E01000097	1
E01000098	1
E01000099	0
E01032580	1
E01000248	1
E01000249	0
E01000250	2
E01000254	0
E01000292	0
E01000293	0
E01000167	0
E01000246	0
E01000247	0
E01000251	1
E01000252	0
E01000166	0
E01000168	0
E01000169	0
E01000172	0
E01000285	0
E01000287	1
E01000288	0
E01000289	1
E01000291	1
E01000294	0
E01000267	0
E01000268	1
E01000269	0
E01000270	0
E01000170	1
E01000171	2
E01000173	0
E01000174	0
E01000175	0
E01000228	0
E01000253	0
E01000279	0
E01000280	0
E01000286	1
E01000290	0
E01000271	0
E01000272	0
E01000273	0
E01000281	1
E01000282	0
E01000115	0
E01000116	0
E01000119	0
E01000120	0
E01000122	0
E01000117	0
E01000118	0
E01000121	1
E01000123	0
E01000124	1
E01000265	1
E01000266	0
E01000274	1
E01000320	0
E01000322	0
E01000275	0
E01000277	0
E01000283	0
E01000284	1
E01000321	0
E01000195	0
E01000229	0
E01000230	0
E01000231	0
E01000232	0
E01000233	0
E01000186	0
E01000187	0
E01000188	0
E01000189	1
E01000190	0
E01000191	0
E01000158	0
E01000159	0
E01000160	1
E01000161	1
E01000162	0
E01000324	0
E01000256	0
E01000258	1
E01000263	0
E01000264	1
E01000255	0
E01000257	1
E01000261	0
E01000262	0
E01000192	2
E01000193	2
E01000194	1
E01000226	0
E01000227	0
E01000299	2
E01000300	0
E01000302	0
E01000317	0
E01000318	1
E01000323	0
E01000276	0
E01000278	0
E01000301	0
E01000303	0
E01000304	0
E01000130	0
E01000132	0
E01000133	0
E01000234	0
E01000235	1
E01000156	1
E01000157	0
E01000163	0
E01000164	2
E01000165	0
E01000315	1
E01000197	0
E01000295	0
E01000296	1
E01000298	0
E01000125	2
E01000127	0
E01000128	1
E01000129	2
E01000131	0
E01000134	0
E01000198	0
E01000199	0
E01000204	0
E01000259	0
E01000260	2
E01000126	0
E01000151	1
E01000152	1
E01000153	2
E01000154	0
E01000176	0
E01000178	1
E01000184	0
E01000297	0
E01000316	2
E01000319	0
E01000196	1
E01000200	0
E01000201	1
E01000202	1
E01000203	0
E01000177	0
E01000179	0
E01000180	0
E01000181	0
E01000182	0
E01000185	0
E01000147	0
E01000148	1
E01000155	1
E01033572	1
E01033573	1
E01000239	1
E01000240	0
E01000241	1
E01000309	0
E01000237	1
E01000242	1
E01000243	1
E01000244	0
E01000245	2
E01000314	2
E01000183	0
E01000206	0
E01000207	0
E01000208	0
E01000210	0
E01000213	0
E01000236	1
E01000238	1
E01000310	0
E01000311	0
E01000205	0
E01000209	0
E01000211	1
E01000212	1
E01000216	0
E01000217	0
E01000150	1
E01000305	0
E01000306	0
E01000308	1
E01000312	0
E01000313	1
E01000145	0
E01000215	0
E01000218	1
E01000219	1
E01000220	0
E01000225	1
E01000135	0
E01000136	1
E01000144	2
E01000146	2
E01000214	0
E01000141	2
E01000221	2
E01000223	2
E01000307	2
E01000138	1
E01000142	1
E01000222	0
E01000224	0
E01000137	0
E01000139	1
E01000140	0
E01000143	0
E01000466	1
E01000467	0
E01000468	1
E01000469	1
E01000416	1
E01000418	1
E01000422	1
E01000464	0
E01000465	1
E01000470	0
E01000333	1
E01000335	1
E01000336	1
E01000337	0
E01000338	0
E01000403	2
E01000404	1
E01000405	0
E01000408	0
E01000332	0
E01000402	0
E01000406	0
E01000407	0
E01000334	0
E01000417	1
E01000419	0
E01000420	0
E01000442	0
E01000437	0
E01000438	0
E01000439	1
E01000440	0
E01000441	1
E01000373	0
E01000429	0
E01000430	1
E01000431	1
E01000432	0
E01000433	2
E01000434	1
E01000356	1
E01000359	0
E01000421	0
E01000450	0
E01000451	0
E01000452	0
E01000367	1
E01000368	0
E01000372	1
E01000380	0
E01000435	0
E01000353	0
E01000354	0
E01000355	0
E01000358	0
E01000436	0
E01000401	0
E01000453	0
E01000454	0
E01000455	0
E01000456	0
E01000325	0
E01000326	0
E01000369	0
E01000370	0
E01000371	0
E01000360	2
E01000362	2
E01000365	0
E01000366	0
E01000394	0
E01000388	1
E01000392	1
E01000409	0
E01000411	0
E01000414	1
E01000415	0
E01000327	0
E01000328	0
E01000329	1
E01000330	1
E01000331	0
E01000340	0
E01000395	0
E01000396	0
