LSOA	value
E01031470	0
E01017687	0
E01000027	0
E01000028	0
E01000029	0
E01000030	0
E01000031	0
E01000032	0
E01000110	0
E01000111	0
E01000112	0
E01000113	0
E01000034	0
E01000037	0
E01000038	0
E01000039	0
E01000063	0
E01000100	0
E01000101	0
E01000109	0
E01000114	0
E01000033	0
E01000060	0
E01000061	0
E01000062	0
E01000064	0
E01000065	0
E01000078	0
E01000080	0
E01000081	0
E01000082	0
E01000083	0
E01000102	0
E01000021	0
E01000022	0
E01000023	0
E01000024	0
E01000025	0
E01000077	0
E01000015	0
E01000016	0
E01000017	0
E01000018	0
E01000079	0
E01000035	0
E01000036	0
E01000107	0
E01000108	0
E01000066	0
E01000067	0
E01000069	0
E01000070	0
E01000071	0
E01000057	0
E01000073	0
E01000074	0
E01000075	0
E01000076	0
E01000013	0
E01000014	0
E01000059	0
E01000084	0
E01000085	0
E01000086	0
E01000103	0
E01000104	0
E01000105	1
E01000106	0
E01000007	0
E01000008	0
E01000010	2
E01000012	0
E01000006	0
E01000009	0
E01000011	0
E01000044	0
E01000068	0
E01000041	0
E01000042	0
E01000045	0
E01000046	0
E01000072	0
E01000054	0
E01000055	0
E01000056	0
E01000058	0
E01000095	1
E01000040	0
E01000043	0
E01000050	0
E01000052	0
E01000092	0
E01000053	0
E01000087	0
E01000088	0
E01000089	0
E01000090	0
E01000048	0
E01000049	0
E01000051	0
E01033587	1
E01033588	0
E01000091	0
E01000093	0
E01000094	0
E01000096	0
E01000019	0
E01000020	0
E01000097	0
E01000098	0
E01000099	0
E01032580	0
E01000248	0
E01000249	0
E01000250	0
E01000254	0
E01000292	0
E01000293	0
E01000167	0
E01000246	0
E01000247	0
E01000251	0
E01000252	0
E01000166	0
E01000168	0
E01000169	0
E01000172	0
E01000285	0
E01000287	0
E01000288	0
E01000289	0
E01000291	0
E01000294	0
E01000267	0
E01000268	0
E01000269	0
E01000270	0
E01000170	0
E01000171	0
E01000173	0
E01000174	0
E01000175	0
E01000228	0
E01000253	0
E01000279	0
E01000280	0
E01000286	0
E01000290	0
E01000271	0
E01000272	0
E01000273	0
E01000281	0
E01000282	0
E01000115	0
E01000116	0
E01000119	0
E01000120	0
E01000122	0
E01000117	0
E01000118	0
E01000121	0
E01000123	0
E01000124	0
E01000265	0
E01000266	0
E01000274	0
E01000320	0
E01000322	0
E01000275	0
E01000277	0
E01000283	0
E01000284	0
E01000321	0
E01000195	0
E01000229	0
E01000230	0
E01000231	0
E01000232	0
E01000233	0
E01000186	0
E01000187	0
E01000188	0
E01000189	0
E01000190	0
E01000191	0
E01000158	0
E01000159	0
E01000160	0
E01000161	0
E01000162	0
E01000324	0
E01000256	0
E01000258	0
E01000263	0
E01000264	0
E01000255	0
E01000257	0
E01000261	0
E01000262	0
E01000192	0
E01000193	0
E01000194	0
E01000226	0
E01000227	0
E01000299	1
E01000300	0
E01000302	0
E01000317	0
E01000318	0
E01000323	0
E01000276	0
E01000278	0
E01000301	0
E01000303	0
E01000304	0
E01000130	0
E01000132	0
E01000133	0
E01000234	0
E01000235	0
E01000156	0
E01000157	0
E01000163	0
E01000164	1
E01000165	0
E01000315	0
E01000197	0
E01000295	0
E01000296	0
E01000298	0
E01000125	0
E01000127	0
E01000128	0
E01000129	0
E01000131	0
E01000134	0
E01000198	0
E01000199	0
E01000204	0
E01000259	0
E01000260	0
E01000126	0
E01000151	0
E01000152	0
E01000153	0
E01000154	0
E01000176	0
E01000178	0
E01000184	0
E01000297	0
E01000316	0
E01000319	0
E01000196	0
E01000200	0
E01000201	0
E01000202	0
E01000203	0
E01000177	0
E01000179	0
E01000180	0
E01000181	0
E01000182	0
E01000185	0
E01000147	0
E01000148	0
E01000155	0
E01033572	0
E01033573	0
E01000239	0
E01000240	0
E01000241	0
E01000309	0
E01000237	0
E01000242	0
E01000243	0
E01000244	0
E01000245	0
E01000314	1
E01000183	0
E01000206	0
E01000207	0
E01000208	0
E01000210	0
E01000213	0
E01000236	0
E01000238	0
E01000310	0
E01000311	0
E01000205	0
E01000209	0
E01000211	0
E01000212	0
E01000216	0
E01000217	0
E01000150	0
E01000305	0
E01000306	0
E01000308	0
E01000312	0
E01000313	0
E01000145	0
E01000215	0
E01000218	0
E01000219	0
E01000220	0
E01000225	0
E01000135	0
E01000136	0
E01000144	0
E01000146	1
E01000214	0
E01000141	1
E01000221	0
E01000223	0
E01000307	2
E01000138	0
E01000142	0
E01000222	0
E01000224	0
E01000137	0
E01000139	0
E01000140	0
E01000143	0
E01000466	0
E01000467	0
E01000468	0
E01000469	0
E01000416	0
E01000418	0
E01000422	0
E01000464	0
E01000465	0
E01000470	0
E01000333	0
E01000335	0
E01000336	0
E01000337	0
E01000338	0
E01000403	1
E01000404	0
E01000405	0
E01000408	0
E01000332	0
E01000402	0
E01000406	0
E01000407	0
E01000334	0
E01000417	0
E01000419	0
E01000420	0
E01000442	0
E01000437	0
E01000438	0
E01000439	0
E01000440	0
E01000441	0
E01000373	0
E01000429	0
E01000430	0
E01000431	0
E01000432	0
E01000433	0
E01000434	0
E01000356	0
E01000359	0
E01000421	0
E01000450	0
E01000451	0
E01000452	0
E01000367	0
E01000368	0
E01000372	0
E01000380	0
E01000435	0
E01000353	0
E01000354	0
E01000355	0
E01000358	0
E01000436	0
E01000401	0
E01000453	0
E01000454	0
E01000455	0
E01000456	0
E01000325	0
E01000326	0
E01000369	0
E01000370	0
E01000371	0
E01000360	1
E01000362	1
E01000365	0
E01000366	0
E01000394	0
E01000388	0
E01000392	0
E01000409	0
E01000411	0
E01000414	0
E01000415	0
E01000327	0
E01000328	0
E01000329	0
E01000330	0
E01000331	0
E01000340	0
E01000395	0
E01000396	0
